,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,FED BS / Money supply (billions),FED BS Assets - Reverse Repo,FED Balance Sheet (total factors ABSORBING reserve funds),Currency in circulation (1),Deposits with Federal Reserve Banks excluding Reserve Balances (4),FED BS with Fed Banks
30/04/2004,55.29788839,56.18872549,55.85416667,65.11437908,45.72829132,49.975,61.92810458,57.73172906,73.65196078,64.30093777,67.875,84.44444444,69.60784314,65.53333333,63.40497738,37,43.72072072,78.24463119,56.55555556,72.09694989,78.22128852,36.2745098,34.66386555,0.124864176,782170,775395,718687,16902,26465
31/05/2004,48.29881657,53.60576923,67.03431373,53.0982906,53.50274725,63.55392157,70.67307692,46.67832168,77.1978022,68.04974916,68.24448529,73.52941176,73.80536131,57.32026144,69.11057692,43.54575163,46.19325208,86.58424908,62.20043573,77.42521368,83.20054945,59.375,40.86538462,0.123504696,780924,778787,723891,14979,21467
30/06/2004,49.61901306,49.88207547,71.39423077,36.66142558,36.05121294,61.73076923,47.79874214,61.27787307,77.24056604,64.69442166,67.47295673,80.02136752,71.44082333,63.3974359,72.38751814,51.36217949,52.31288981,76.63971249,85.04273504,74.39203354,84.94609164,62.02830189,45.64690027,0.125103965,790297,790266,733183,17399,19260
31/07/2004,51.78062678,45.25462963,56.80031447,44.67592593,52.21560847,51.58018868,63.27160494,67.17171717,72.40410053,59.73228663,43.29304245,65.82809224,69.55667789,48.6163522,68.11787749,59.53878407,53.28913819,57.49559083,78.82599581,67.71604938,80.8994709,49.84567901,46.9973545,0.123979352,784069,788646,734377,14616,14786
31/08/2004,53.39160839,38.80681818,63.54166667,36.66666667,32.24025974,69.05092593,52.12121212,62.66528926,71.13636364,59.04150198,51.85185185,56.6872428,68.07162534,61.54320988,58.08566434,60.41666667,50.70904238,52.16450216,59.67078189,65.04040404,73.42857143,54.73484848,45.55844156,0.123685963,784135,792512,735513,14387,12545
30/09/2004,50.65247253,40.84821429,59.24242424,41.31944444,50,51.65909091,70.38690476,58.74594156,73.4375,59.55939441,57.91193182,56.86868687,64.58333333,55.81818182,59.23763736,62.8030303,45.24979525,45.40816327,56.56565657,74.21130952,71.69642857,58.96577381,45.30612245,0.124985714,791480,801104,738652,15925,14713
31/10/2004,49.66261808,32.75767544,66.14583333,37.45126706,42.23057644,58.61607143,77.92397661,40.01196172,74.1697995,64.11136537,51.89732143,58.73015873,63.10473153,61.8452381,56.96693657,50.32242063,43.22715573,64.28571429,54.26587302,64.20565302,69.27318296,46.23538012,43.4085213,0.125100674,794806,806259,742431,15485,14309
30/11/2004,49.03846154,35.31788793,74.61622807,47.43773946,52.55541872,44.95614035,73.99425287,47.59012539,73.24507389,61.97526237,63.13048246,70.46783626,50.49634274,64.26900585,63.56929708,57.21247563,50.41883989,48.44006568,90.05847953,61.75766284,69.81527094,53.55603448,44.17487685,0.126628984,810595,821324,754296,14916,17355
31/12/2004,53.94393742,34.98411017,69.88146552,51.95386064,51.27118644,67.99568966,82.06214689,65.90909091,72.01876513,63.1816507,41.02909483,77.49042146,54.77657935,58.10344828,64.21936115,43.84578544,55.25784405,59.68523002,91.95402299,68.08851224,70.73849879,52.82485876,44.9031477,0.125737426,806618,829567,758356,16010,6989
31/01/2005,47.93269231,32.421875,86.65254237,46.80555556,47.38095238,73.0720339,56.94444444,51.96969697,69.33035714,63.86775362,59.87817797,83.05084746,57.14646465,47.40112994,64.51923077,45.03295669,50.40464193,49.44444444,83.42749529,70.35185185,71.13095238,50.03472222,44.01190476,0.127223945,801223,817843,747377,14455,14454
28/02/2005,51.30832282,32.63319672,78.69791667,47.72313297,51.63934426,49.8125,64.48087432,54.24739195,78.29332553,69.13756237,52.39583333,85.46296296,59.93541977,53.27777778,67.11065574,40.71759259,46.47897898,52.10772834,72.59259259,71.19307832,72.89227166,54.4057377,51.49882904,0.125629843,808079,816674,753820,13512,14880
